,,Sri Dharani Wines
,,Closing Stock, (ALL PACKS)
,,As on: 03/04/2026
Sl.,Item,Brand,Pack,Code,BPC,MRP,Godown,Shop,BarCode
1,AGAVE,DESMONDJI MAHUA,750,692.1,12,1320.00,0.000,0.000,""
2,AGAVE,DESMONDJI MAHUA LIQURE,750,693.1,12,1440.00,0.000,0.000,""
3,AGAVE,DESMONDJI ORANGE LIQUEUR,750,498.1,12,1200.00,0.000,0.000,""
4,AGAVE,DESMONDJI-100% AGAVE,750,495.1,12,1440.00,0.000,0.000,""
5,AGAVE,DESMONDJI-51% AGAVE,750,496.1,12,1320.00,0.000,0.000,""
6,BEER,AMSTEL STRONG BEER,650,110.1,12,156.00,0.000,0.000,""
7,BEER,AMSTERDAM NAVIGATOR,500,204.1,24,302.00,0.000,0.000,"8716700015238"
8,BEER,AWITMAN PREM STRG BEER,500,470.1,24,256.00,0.000,0.000,"8908023234001"
9,BEER,BIRA GOLD WHEAT STG BEER,650,386.1,12,160.00,0.000,0.000,""
10,BEER,BIRA GOLD WHEAT STG BEER,500,386.4,24,135.00,0.000,0.000,""
11,BEER,BIRA91 BL SUMMER LAGER,650,665.1,12,135.00,0.000,0.000,""
12,BEER,BIRA91 BL SUMMER LAGER,50,665.4,24,112.00,0.000,0.000,""
13,BEER,BIRA91 BL SUMMER LAGER,330,665.2,24,72.00,0.000,0.000,""
14,BEER,BIRA91 RISE RICE ST LAGER,650,47.1,12,0.00,0.000,0.000,""
15,BEER,BIRA91 RISE RICE ST LAGER,500,47.2,24,135.00,0.000,0.000,"8906147762509"
16,BEER,BLACK PEARL STRONG BEER,650,300.1,12,100.00,0.000,0.000,""
17,BEER,BLUE MOON BELGIAN WHITE B,500,750.4,24,168.00,0.000,0.000,""
18,BEER,BLUE MOON BELGIAN WHITE B,330,750.2,24,132.00,0.000,0.000,""
19,BEER,BUDWEISER LAGER BEER,650,51.1,12,153.00,0.000,0.000,"8902246000597"
20,BEER,BUDWEISER LAGER BEER,500,51.4,24,122.00,0.000,0.000,"8902246000726"
21,BEER,BUDWEISER LAGER BEER,330,51.2,24,87.00,0.000,0.000,"8902246000603"
22,BEER,BUDWISER STRONG BEER,650,354.1,12,172.00,8.000,1.006,"8902246003703"
23,BEER,BUDWISER STRONG BEER,500,354.4,24,140.00,0.000,1.022,"8902246003727"
24,BEER,BUDWISER STRONG BEER,330,354.2,24,98.00,0.000,0.000,""
25,BEER,CARLING PREM STRONG BEER,650,746.1,12,144.00,0.000,0.000,""
26,BEER,CARLING PREM STRONG BEER,500,746.4,24,132.00,0.000,0.000,""
27,BEER,CARLSBERG PRE ELE ST BEER,650,8.1,12,167.00,1.000,0.002,"8906018942764"
28,BEER,CARLSBERG PRE ELE ST BEER,500,8.4,24,137.00,4.000,1.018,"8906018940142"
29,BEER,CORONA EXTRA BEER,500,108.4,24,150.00,2.000,1.001,"8902246005288"
30,BEER,CORONA EXTRA BEER,330,108.1,24,126.00,1.000,0.019,"8902246005295"
31,BEER,EIGHT FINGER EDDIE,330,233.1,24,155.00,0.000,0.000,"8908011250013"
32,BEER,FOSTERS STRONG BEER,650,185.1,12,129.00,0.000,0.000,"8908002544299"
33,BEER,FOSTERS STRONG BEER,500,185.4,24,80.00,0.000,0.000,""
34,BEER,GEIST JAMES BLOND CRAFT,500,942.1,24,189.00,0.000,0.000,"746935587543"
35,BEER,GEIST KAMACITRA CRAFT BEE,500,940.1,24,212.00,0.000,0.000,"746935587550"
36,BEER,GEIST REPEAT STRONG,500,582.1,24,149.00,0.000,0.000,""
37,BEER,GEIST UNCLE DUNKEL CRAFT,500,941.1,24,189.00,0.000,0.000,"746935587567"
38,BEER,GEIST WITTY WIT CRAFT BEE,500,943.1,24,189.00,0.000,0.000,"746935587536"
39,BEER,GOA BREWING CO LAGER,650,190.1,12,172.00,0.000,0.000,""
40,BEER,GOA BREWING CO LAGER,330,190.2,24,104.00,0.000,0.000,""
41,BEER,GODFATHER STRONG BEER,650,103.1,12,132.00,0.000,0.000,"8902181503276"
42,BEER,GODFATHER STRONG BEER,500,103.4,24,102.00,0.000,0.000,"8902181503290"
43,BEER,HAYWARDS 5000 STRONG BEER,650,3.1,12,125.00,4.000,3.001,"8902246000061"
44,BEER,HAYWARDS 5000 STRONG BEER,500,3.4,24,101.00,2.000,3.023,"8902246000023"
45,BEER,HAYWARDS 5000 STRONG BEER,330,3.2,24,66.00,0.000,0.000,"8902246000078"
46,BEER,HEINEKEN PREM LAGER BEER,650,14.1,12,190.00,1.000,0.009,"8905002032009"
47,BEER,HEINEKEN PREM LAGER BEER,500,14.4,24,140.00,0.000,0.016,"8905002032023"
48,BEER,HEINEKEN PREM LAGER BEER,330,14.2,24,105.00,0.000,0.000,"8905002032016"
49,BEER,HOEGAARDEN BEER,500,304.4,24,152.00,0.000,0.000,""
50,BEER,HOEGAARDEN BEER,330,304.2,24,126.00,0.000,0.000,"8902246005455"
51,BEER,HUNTER STRONG BEER,650,105.1,12,130.00,0.000,0.000,"8904299000043"
52,BEER,HUNTER STRONG BEER,500,105.4,24,104.00,0.000,0.000,""
53,BEER,KF MAX STRONG ULTRA BEER,650,106.1,12,165.00,2.000,0.009,""
54,BEER,KF MAX STRONG ULTRA BEER,500,106.4,24,135.00,0.000,0.000,""
55,BEER,KF ULTRA LAGER BEER,650,94.1,12,144.00,0.000,0.000,""
56,BEER,KF ULTRA LAGER BEER,500,94.4,24,120.00,0.000,0.000,""
57,BEER,KF ULTRA LAGER BEER,330,94.2,24,84.00,0.000,0.000,""
58,BEER,KINGFISHER LAGER BEER,650,6.1,12,125.00,1.000,1.007,""
59,BEER,KINGFISHER LAGER BEER,500,6.4,24,100.00,1.000,0.006,"8905002000022"
60,BEER,KINGFISHER STRONG BEER,650,10.1,12,134.00,0.000,0.000,"8905002001005"
61,BEER,KINGFISHER STRONG BEER,500,10.4,24,105.00,11.000,1.011,"8905002001029"
62,BEER,MILLER HI LIFE PREM BEER,650,207.1,12,132.00,0.000,0.000,""
63,BEER,MILLER HI LIFE PREM BEER,500,207.4,24,120.00,0.000,0.000,""
64,BEER,MILLER HI LIFE PREM BEER,330,207.2,24,72.00,0.000,0.000,""
65,BEER,ORIGN OETTINGER EXP BEER,500,499.1,24,299.00,0.000,0.000,""
66,BEER,ORIGN OETTINGER WEISSBIER,500,483.5,24,294.00,0.000,0.000,""
67,BEER,PEOPLES PONDICHERRY,650,214.1,12,178.00,2.000,2.000,""
68,BEER,PEOPLES PONDICHERRY,330,214.2,24,114.00,0.000,0.000,""
69,BEER,PEOPLES TAVERN EDITION,650,240.1,12,167.00,2.000,0.010,""
70,BEER,PEOPLES WHITE,330,429.2,24,126.00,0.000,0.000,""
71,BEER,PERONI NASTRO AZZURO BEER,330,677.1,24,299.00,0.000,0.000,"8008440222008"
72,BEER,PLASTIC CHAIRS,330,430.3,24,165.00,0.000,0.000,""
73,BEER,POWER COOL STRONG BEER,650,104.1,12,98.00,0.000,0.000,""
74,BEER,ROYAL CHALLENGE STG BEER,650,117.2,12,120.00,0.000,0.000,""
75,BEER,STORM KF STRONG BEER,650,101.1,12,135.00,0.000,0.000,""
76,BEER,STORM KF STRONG BEER,500,101.4,24,110.00,0.000,0.000,""
77,BEER,THALA 555,650,558.1,12,147.00,0.000,0.000,""
78,BEER,THALA 888,650,559.1,12,158.00,0.000,0.000,""
79,BEER,THUNDER BOLT STRONG BEER,650,209.1,12,120.00,0.000,0.000,""
80,BEER,THUNDER BOLT STRONG BEER,500,209.4,24,90.00,0.000,0.000,""
81,BEER,TUBORG 4GGREEN LAGER BEER,650,2.1,12,126.00,0.000,0.000,"8906018942474"
82,BEER,TUBORG STRONG PREMIUMBEER,650,9.1,12,132.00,19.000,2.000,"8906018940111"
83,BEER,TUBORG STRONG PREMIUMBEER,500,9.4,24,102.00,4.000,1.016,"8906018940104"
84,BEER,WOODPECKER MILD BEER,650,153.1,12,154.00,0.000,0.000,"8904299001736"
85,BEER,WOODPECKER MILD BEER,500,153.2,24,123.00,0.000,0.000,"8904299001743"
86,BEER,WOODPECKER STRONG BEER,650,156.1,12,174.00,0.000,0.000,"8904299001811"
87,BEER,WOODPECKER STRONG BEER,500,156.2,24,142.00,0.000,0.000,"8904299001828"
88,BRANDY,1848 PREMIUM XO BRANDY,750,417.1,12,758.00,0.000,0.000,"8906033091058"
89,BRANDY,3 CHEERS SUPERIOR BDY,750,461.1,12,440.00,0.000,0.000,""
90,BRANDY,A.BARONET NAPOLEON BRANDY,1000,324.1,12,3656.00,0.000,0.000,"3257150053791"
91,BRANDY,A.BARONET NAPOLEON BRANDY,700,324.2,12,3034.00,0.000,0.000,""
92,BRANDY,ANTIQUITY XO BLEND BRANDY,750,252.1,12,1160.00,0.000,0.008,"8906111453082"
93,BRANDY,ANTIQUITY XO BLEND BRANDY,180,252.3,48,290.00,0.000,0.001,"8906111453068"
94,BRANDY,ANTIQUITY XO BLEND BRANDY,90,252.7,96,144.00,0.000,0.030,"8906111453822"
95,BRANDY,ASURA PREMIUM BRANDY,750,551.1,12,480.00,0.000,0.000,""
96,BRANDY,B & G VSOP NAP BRANDY,2000,19.8,6,1440.00,0.000,1.000,"8906141251573"
97,BRANDY,B & G VSOP NAP BRANDY,1000,19.4,9,786.00,0.000,1.002,"8906141250378"
98,BRANDY,B & G VSOP NAP BRANDY,750,19.1,12,596.00,0.009,1.001,"8906141250385"
99,BRANDY,B & G VSOP NAP BRANDY,500,19.5,18,378.00,0.000,1.007,"8906141250392"
100,BRANDY,B & G VSOP NAP BRANDY,375,19.2,24,294.00,0.000,1.000,"8906141250408"
101,BRANDY,B & G VSOP NAP BRANDY,180,19.3,48,148.00,0.000,1.017,"8906141251627"
102,BRANDY,B & G VSOP NAP BRANDY,90,19.7,96,74.00,0.000,0.074,"8906141250422"
103,BRANDY,BARDINET VSOP FINEST BDY,1000,718.1,12,2661.00,0.000,0.001,"3012999300051"
104,BRANDY,BARDINET XO FINEST BRANDY,700,948.1,6,3057.00,0.000,0.000,""
105,BRANDY,BAUDIN BOLD BRANDY,750,373.1,12,1150.00,0.000,0.000,"8906037281264"
106,BRANDY,BAUDIN VSOP BRANDY,750,425.1,12,900.00,0.000,0.000,"8906037280342"
107,BRANDY,BEEHIVE HONEY SPIRIT DRIN,1000,951.1,12,3290.00,0.000,0.000,"3012993068179"
108,BRANDY,BEEHIVE PREM RES VSOP BDY,1000,682.1,12,3053.00,0.000,0.000,"3012993048928"
109,BRANDY,BEJOIS XO BRANDY,750,487.1,12,975.00,0.000,0.000,"8901193506619"
110,BRANDY,BLUE GRAPE BRANDY,1000,49.4,9,380.00,2.000,1.002,"8904011601916"
111,BRANDY,BLUE GRAPE BRANDY,750,49.1,12,280.00,22.000,1.006,"8904011601923"
112,BRANDY,BLUE GRAPE BRANDY,500,49.5,18,190.00,0.000,0.000,"8904011601930"
113,BRANDY,BLUE GRAPE BRANDY,375,49.2,24,140.00,1.000,1.017,"8904011601947"
114,BRANDY,BLUE GRAPE BRANDY,180,49.3,48,70.00,17.000,2.019,"8904011601954"
115,BRANDY,BLUE GRAPE BRANDY,90,49.7,96,36.00,15.000,1.092,"8904011601992"
116,BRANDY,BOMBAY GRAPE BRANDY,750,939.1,12,284.00,0.000,0.001,""
117,BRANDY,BOMBAY GRAPE BRANDY,500,939.5,18,150.00,0.000,0.013,""
118,BRANDY,BOMBAY GRAPE BRANDY,90,939.7,96,35.00,0.000,0.000,""
119,BRANDY,BOOST BRANDY,750,142.1,12,249.00,0.000,0.000,""
120,BRANDY,BOOST BRANDY,180,142.3,48,62.00,0.000,0.000,""
121,BRANDY,BRANDY CRONUS VS,1000,753.1,12,2230.00,0.000,0.000,""
122,BRANDY,BRANDY PARAKAR VS,700,734.1,12,1698.00,0.000,0.000,""
123,BRANDY,CALENTER DELUXE VSOP BDY,750,285.1,12,573.00,0.000,0.000,"8908002916171"
124,BRANDY,CHAVANIAC LAFA XO SPL EDI,700,976.1,12,2560.00,0.000,0.000,"745604325325"
125,BRANDY,CHAVANIAC LAFAYETEE XO BY,700,975.1,12,2410.00,0.000,0.000,"745604325332"
126,BRANDY,CHEVALIER NAPOLEON BRANDY,700,719.1,12,2090.00,0.000,0.000,""
127,BRANDY,CLASSIC RED VSOP BRANDY,750,206.1,12,156.00,0.000,1.000,""
128,BRANDY,CLASSIC RED VSOP BRANDY,180,206.3,48,132.00,0.000,0.018,""
129,BRANDY,CLOVIS XO FRENCH BRANDY,750,327.1,12,897.00,1.000,0.000,"8908001853736"
130,BRANDY,CLOVIS XO FRENCH BRANDY,375,327.2,24,448.00,0.000,0.000,""
131,BRANDY,CLOVIS XO FRENCH BRANDY,180,327.3,48,224.00,0.000,0.020,"8908001853750"
132,BRANDY,CLOVIS XO FRENCH BRANDY,60,327.6,150,78.00,0.000,0.025,"8908001853767"
133,BRANDY,COGNAC GODET VS CLASSIC,700,961.1,12,8034.00,0.000,0.000,"3278480396310"
134,BRANDY,COLONIAL BRANDY,750,52.1,12,588.00,0.000,0.000,"8906037280229"
135,BRANDY,COLONIAL BRANDY,500,52.5,18,390.00,0.000,0.014,"8906037280366"
136,BRANDY,COLONIAL BRANDY,375,52.2,24,294.00,0.000,0.000,"8906037280236"
137,BRANDY,COLONIAL BRANDY,180,52.3,48,147.00,0.000,0.000,"8906037280243"
138,BRANDY,COURRIER NAP GREEN BRANDY,750,55.1,12,774.00,3.008,0.007,"8902178007831"
139,BRANDY,COURRIER NAP GREEN BRANDY,375,55.2,24,387.00,2.000,0.020,"8902178007848"
140,BRANDY,COURRIER NAP GREEN BRANDY,180,55.3,48,194.00,3.000,0.027,"8902178007855"
141,BRANDY,COURRIER NAP GREEN BRANDY,90,55.7,96,95.00,2.000,0.073,"8902178011371"
142,BRANDY,COURRIER NAPOLEON BRANDY,2000,62.8,6,1169.00,1.000,0.004,""
